['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087481_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087581_9.0_AE.png', 'Different', '0', '1', 85, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087437_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087437_0.0_AE.png', 'Same', '1', '0', 44, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087543_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087439_0.0_AE.png', 'Different', '1', '0', 49, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087463_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087563_9.0_AE.png', 'Different', '0', '1', 68, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087462_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087562_9.0_AE.png', 'Different', '0', '1', 67, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087428_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087428_0.0_AE.png', 'Same', '1', '0', 36, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087413_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087413_9.0_AE.png', 'Same', '0', '1', 21, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087566_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087466_0.0_AE.png', 'Different', '1', '0', 71, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087430_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087430_9.0_AE.png', 'Same', '0', '1', 38, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087585_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087485_0.0_AE.png', 'Different', '1', '0', 88, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087484_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087584_9.0_AE.png', 'Different', '0', '1', 87, 0],
