im1_name,im2_name,Task type,im1,im2,pair_ind,rep
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/121645.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/088721.jpg,ground_truth,0,1,39,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/074137.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/180698.jpg,ground_truth,1,0,21,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/032770.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/097670.jpg,ground_truth,0,1,2,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/130100.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/140526.jpg,ground_truth,1,0,8,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/005407.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/196526.jpg,ground_truth,1,0,29,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/106324.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/150710.jpg,ground_truth,1,0,36,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/079452.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/006125.jpg,ground_truth,0,1,33,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/156437.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/193499.jpg,ground_truth,1,0,35,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/089100.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/058683.jpg,ground_truth,0,1,9,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/001583.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/022830.jpg,ground_truth,0,1,27,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/158098.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/042880.jpg,ground_truth,0,1,24,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/197889.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/007582.jpg,ground_truth,0,1,12,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/122913.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/043035.jpg,ground_truth,0,1,0,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/145078.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/090799.jpg,ground_truth,0,1,3,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/124901.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/043904.jpg,ground_truth,1,0,26,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/150710.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/106324.jpg,ground_truth,0,1,36,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/074137.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/180698.jpg,ground_truth,1,0,21,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/152507.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/042311.jpg,ground_truth,0,1,10,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/052872.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/059355.jpg,ground_truth,1,0,23,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/058863.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/145447.jpg,ground_truth,1,0,19,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/150830.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/048555.jpg,ground_truth,0,1,14,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/040244.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/097191.jpg,ground_truth,0,1,15,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/071470.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/155603.jpg,ground_truth,1,0,17,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/034125.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/046885.jpg,ground_truth,0,1,31,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/163226.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/073829.jpg,ground_truth,0,1,7,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/191219.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/104860.jpg,ground_truth,0,1,32,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/001583.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/022830.jpg,ground_truth,0,1,27,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/157262.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/065356.jpg,ground_truth,0,1,38,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/090799.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/145078.jpg,ground_truth,1,0,3,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/128891.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/017814.jpg,ground_truth,0,1,13,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/165757.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/051115.jpg,ground_truth,0,1,22,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/017814.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_emotional/128891.jpg,ground_truth,1,0,13,1
