im1_name,im2_name,Task type,im1,im2,pair_ind,rep
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087481_2.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087581_8.0_AE.png,Different,0,1,85,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087437_8.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087437_2.0_AE.png,Same,1,0,44,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087543_8.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087439_2.0_AE.png,Different,1,0,49,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087463_2.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087563_8.0_AE.png,Different,0,1,68,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087462_2.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087562_8.0_AE.png,Different,0,1,67,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087428_8.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087428_2.0_AE.png,Same,1,0,36,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087413_2.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087413_8.0_AE.png,Same,0,1,21,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087566_8.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087466_2.0_AE.png,Different,1,0,71,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087430_2.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087430_8.0_AE.png,Same,0,1,38,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087585_8.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087485_2.0_AE.png,Different,1,0,88,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087484_2.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087584_8.0_AE.png,Different,0,1,87,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087486_2.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087534_8.0_AE.png,Different,0,1,89,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/128593.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/038546.jpg,ground_truth,1,0,92,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087478_2.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087578_8.0_AE.png,Different,0,1,82,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087574_8.0_AE.png,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_trustworthy/087474_2.0_AE.png,Different,1,0,78,1
