im1_name,im2_name,Task type,im1,im2,pair_ind,rep
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/132670.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/046077.jpg,ground_truth,0,1,39,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/086414.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/152827.jpg,ground_truth,1,0,21,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/032883.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/139565.jpg,ground_truth,0,1,2,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/062871.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/096230.jpg,ground_truth,1,0,8,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/073886.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/127601.jpg,ground_truth,1,0,29,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/105137.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/003364.jpg,ground_truth,1,0,36,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/037932.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/050181.jpg,ground_truth,0,1,33,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/021576.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/053836.jpg,ground_truth,1,0,35,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/144125.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/085594.jpg,ground_truth,0,1,9,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/048954.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/058879.jpg,ground_truth,0,1,27,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/054159.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/171608.jpg,ground_truth,0,1,24,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/053640.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/124399.jpg,ground_truth,0,1,12,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/109934.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/051703.jpg,ground_truth,0,1,0,1
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/163099.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/002208.jpg,ground_truth,0,1,3,0
https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/150134.jpg,https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_responsible/083021.jpg,ground_truth,1,0,26,0
