faceId	faceTopDimension	faceLeftDimension	faceWidthDimension	faceHeightDimension	Smile	pitch	roll	yaw	gender	age	moustache	beard	sideburns	glasses	anger	contempt	disgust	fear	hapiness	neutral	sadness	surprise	blurlevel	blurvalue	exposurelevel	exposurevalue	noiselevel	noisevalue	eymakeup	lipmakeup	foreheadoccluded	eyeoccluded	mouthoccluded	hair-bald	hair-invisible	img_name	
6c464ff4-a2f0-4c5b-9d2a-db21a7f573b1	38	28	141	141	0.547	0.0	1.1	2.6	female	42.8	0.0	0.0	0.0	NoGlasses	0.0	0.004	0.0	0.0	0.547	0.447	0.001	0.0	medium	0.58	goodExposure	0.66	low	0.0	True	True	False	False	False	0.01	False	e5937_cb.jpg
a43ca9e9-3a7c-418c-80bc-144c3d638b9d	35	24	116	116	0.0	0.0	2.2	-12.7	male	26.2	0.1	0.1	0.0	NoGlasses	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	high	0.89	overExposure	0.86	low	0.0	True	False	False	False	False	0.09	False	e7408_cb.jpg
04647afb-d2dc-4bb1-9bc5-8cfb962ef853	33	24	120	120	0.46	0.0	3.9	5.5	male	41.4	0.3	0.4	0.3	ReadingGlasses	0.0	0.124	0.0	0.0	0.46	0.415	0.0	0.0	low	0.24	goodExposure	0.63	low	0.17	False	False	False	False	False	0.67	False	e2745_cb.jpg
4deedf6e-daef-45f7-bce5-bbb6bd0a5741	38	29	131	131	0.502	0.0	1.9	19.8	male	45.1	0.0	0.2	0.1	NoGlasses	0.0	0.0	0.0	0.0	0.502	0.497	0.0	0.0	medium	0.25	goodExposure	0.6	low	0.24	False	False	False	False	False	0.78	False	e3272_cb.jpg
653a6d03-f8ef-4ce9-ba85-5310dad8b04a	26	19	63	63	0.002	0.0	-1.3	24.3	male	40.2	0.7	0.5	0.5	ReadingGlasses	0.002	0.006	0.001	0.0	0.002	0.974	0.014	0.002	low	0.04	overExposure	0.83	low	0.01	False	False	False	False	False	0.04	False	e3523_cb.jpg
5a26fa32-2b92-46eb-bd4d-840c0f3cdee7	35	22	98	98	1.0	0.0	-6.7	7.6	male	57.5	0.0	0.1	0.0	NoGlasses	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	medium	0.42	goodExposure	0.6	low	0.0	False	False	False	False	False	0.71	False	e2014_cb.jpg
89bfc432-971c-4a21-9179-de8c8373ac56	83	60	225	225	0.186	0.0	-1.2	0.1	male	37.5	0.1	0.2	0.0	NoGlasses	0.0	0.012	0.0	0.0	0.186	0.801	0.001	0.0	low	0.09	goodExposure	0.72	medium	0.4	False	False	False	False	False	0.04	False	e4955_tw.jpg
6a43ae6c-5ad3-4096-a23c-dbbe96485432	74	42	248	248	0.306	0.0	-5.2	-0.3	male	41.2	0.2	0.2	0.0	NoGlasses	0.0	0.006	0.0	0.0	0.306	0.688	0.0	0.0	medium	0.54	goodExposure	0.63	medium	0.62	False	False	False	False	False	0.23	False	e3590_tw.jpg
babcd15e-bc56-4852-afdf-daa643d970bf	39	24	120	120	1.0	0.0	1.7	-4.7	male	46.5	0.8	0.8	0.7	NoGlasses	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	low	0.0	overExposure	0.82	medium	0.37	False	False	False	False	True	0.36	False	e5984_tw.jpg
5bd0cfb8-37db-4e9b-936e-d024fd7587c5	34	22	104	104	1.0	0.0	14.1	-0.5	male	31.9	0.0	0.0	0.2	NoGlasses	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	medium	0.7	goodExposure	0.7	low	0.0	False	False	False	False	False	0.17	False	e2645_cb.jpg
