image_name	ethnicity	gender	age	beauty-female	beauty-male	
00026df9-9254-269d-40b1-549e9529550d_LK.jpg	BLACK	Male	30	55.989	54.702	
000497ac-d3f9-7969-6c8b-b4050c8efc04_LK.jpg	WHITE	Male	46	61.543	57.458	
0005da7e-2311-9002-7756-ed2f2734e057_LK.jpg	WHITE	Male	46	55.641	45.589	
0009f5cb-b369-880a-9638-f4eece52f418_LK.jpg	INDIA	Male	29	59.581	56.136	
000ec1c0-05c4-451e-c622-fa1cabaefa4e_LK.jpg	WHITE	Male	57	62.251	56.17	
0011c10f-1ac1-cd37-a294-d95cf5166b43_LK.jpg	BLACK	Female	37	48.286	48.018	
00122598-4cf3-0a67-a91e-b1df72d8ee46_LK.jpg	WHITE	Male	38	68.993	65.046	
00169a01-15fe-c361-9dd0-8aeaa6e14534_LK.jpg	WHITE	Male	24	78.319	75.231	
001af89a-d4ca-3450-843b-5108a24441b7_LK.jpg	WHITE	Male	27	88.757	85.709	
001d9536-ed27-05b9-9d2b-0ce825e68910_LK.jpg	WHITE	Male	35	63.428	55.999	
001e714f-d793-fc2f-609f-ded56308ec53_LK.jpg	INDIA	Male	33	69.28	65.739	
001e860c-6579-9835-b294-af1a65842ca9_LK.jpg	WHITE	Male	41	57.828	50.602	
001fca70-3240-e7b4-2033-a177d8a164f8_LK.jpg	WHITE	Male	33	85.071	80.529	
0021a108-733c-8c83-3448-b92a1101a0ce_LK.jpg	WHITE	Male	22	76.763	75.075	
002589b5-dbac-4c43-320a-b62aaa7b49f7_LK.jpg	WHITE	Male	66	49.992	43.542	
0029836e-5dec-d285-c440-00d33464ede2_LK.jpg	BLACK	Male	46	65.63	54.971	
002f06c5-34b8-49a8-e0eb-5d2cc76763b0_LK.jpg	ASIAN	Male	23	61.609	58.695	
0032f6dd-3919-e076-43cf-f80b4bf89164_LK.jpg	INDIA	Male	30	53.29	52.742	
003413e5-94a5-6f14-c0a7-8e7dd1781cd7_LK.jpg	WHITE	Male	53	60.055	59.78	
0034cab2-ce59-f9cd-6949-e952e386bb55_LK.jpg	WHITE	Male	70	40.208	35.309	
003844ae-1ec6-14d3-de4b-5dd180a466f5_LK.jpg	INDIA	Male	34	63.499	62.089	
0039c644-f853-5b09-c882-c9a7eccd3c33_LK.jpg	WHITE	Male	43	56.625	55.372	
003f88b7-374a-546c-1960-861a35f1666e_LK.jpg	INDIA	Male	54	67.979	69.811	
0043e376-3cb0-eb58-870c-cadb21ca30e3_LK.jpg	WHITE	Male	64	62.323	47.712	
00444c0d-e533-a1d6-3268-fa6b67cf5cd8_LK.jpg	WHITE	Male	48	46.357	40.247	
0045c436-fe5c-fb5d-d59e-a00f7f9443a9_LK.jpg	ASIAN	Male	42	39.443	33.942	
0046db3d-6882-610f-05ee-5e3a2f2a2b59_LK.jpg	WHITE	Male	51	58.725	59.222	
004773d1-3b33-4693-38fc-d187e9a671e4_LK.jpg	WHITE	Male	62	48.404	44.101	
004afa31-116f-a1fa-8bde-9f4d1ab1f4ff_LK.jpg	WHITE	Male	24	74.778	75.288	
004b94a7-ccf0-451e-c955-fd20f1ca2278_LK.jpg	BLACK	Male	53	40.305	37.122	
004eccc2-9bc4-816e-2130-fc7bccec1aab_LK.jpg	WHITE	Male	46	56.267	47.659	
00544603-7927-3442-ad3d-f69bcfbeb974_LK.jpg	WHITE	Female	21	64.955	66.679	
005d0405-7c1e-ded3-2222-73a3d342ec14_LK.jpg	INDIA	Male	34	67.032	63.56	
00625e04-a89d-46ee-b2ca-19dd40c4b591_LK.jpg	WHITE	Male	35	60.988	61.562	
0064210a-5cf1-a1fd-6932-9a55dba640a2_LK.jpg	WHITE	Male	53	55.175	48.416	
00643674-42d9-9270-70be-5cf270b7d718_LK.jpg	WHITE	Male	35	86.914	76.132	
0064a619-d5e0-6b72-bdf3-026f1d68c7e4_LK.jpg	WHITE	Male	29	86.03	82.601	
0065f484-f8cb-b47a-5f22-5fde20e906ab_LK.jpg	INDIA	Male	32	72.766	64.379	
006aa3bd-bcae-e199-f0bf-71b73f4734f3_LK.jpg	WHITE	Male	45	63.252	53.618	
006bd3b6-a001-6273-e90d-cc821f417a6f_LK.jpg	WHITE	Male	39	67.264	65.554	
00737415-8838-57df-d345-397c97c0aee9_LK.jpg	BLACK	Male	40	68.18	72.005	
007410bd-828f-723d-562d-c4c5bf123be6_LK.jpg	WHITE	Male	34	60.713	56.177	
00749f5f-2e41-35dd-bffc-c9e4aafbce0f_LK.jpg	WHITE	Male	46	46.4	45.469	
007d3fa1-3b19-5302-9afd-9701b2443ac8_LK.jpg	INDIA	Male	29	72.593	67.341	
007e6b82-15de-8987-7fd3-a3aecb878f7f_LK.jpg	WHITE	Male	29	68.618	60.353	
007fa95a-f316-e774-8891-460f05700a35_LK.jpg	ASIAN	Male	22	71.332	66.655	
0081fc36-2430-0ca5-8679-314b7b66f5bc_LK.jpg	WHITE	Male	50	67.471	63.761	
008262e8-4f45-f716-a6d1-74d79efc6c9d_LK.jpg	WHITE	Male	45	42.164	37.431	
00831b6c-4d1a-dcd1-22ae-eafb55f2f328_LK.jpg	WHITE	Female	66	46.476	46.243	
00841a40-829a-7e8a-04d7-adfd50b1c95c_LK.jpg	WHITE	Male	41	58.113	57.073	
00856d70-07ae-25ae-6f98-662538e7dee2_LK.jpg	WHITE	Male	38	70.941	65.35	
008de93d-5247-acef-b21c-b9bdd51a0641_LK.jpg	WHITE	Male	25	59.365	62.892	
008e5585-e382-4bc4-8f04-5ee56e7aeea3_LK.jpg	WHITE	Male	44	40.527	42.27	
0095b874-84c7-4f4f-21bc-4adc7e67434e_LK.jpg	INDIA	Male	41	79.301	74.193	
0097fa4e-123f-6d98-f10e-3d536a5ecd06_LK.jpg	BLACK	Male	27	63.848	57.528	
0098f2ee-2b27-a620-bb30-38cf0ad477d5_LK.jpg	WHITE	Male	60	56.778	50.388	
009c8707-e596-a869-7a92-317d9c498c16_LK.jpg	BLACK	Male	48	38.284	30.47	
009d2745-bd38-fe09-c5ed-ad27d0b818ed_LK.jpg	WHITE	Female	26	83.915	81.642	
009ebd1c-91cf-0311-dc01-ef0e3b139886_LK.jpg	WHITE	Female	27	75.543	75.526	
00a0cd8c-9335-7442-42b7-e4cd5eed3a6d_LK.jpg	WHITE	Male	47	71.647	69.989	
00a1a34c-df36-ab5a-dad7-ff805293e761_LK.jpg	WHITE	Male	67	47.127	36.038	
00a2f721-a316-43a5-83bf-48dd1ad49a31_LK.jpg	WHITE	Female	35	69.145	69.875	
00a9d54c-a214-d7e5-91ce-610b98c2f8c5_LK.jpg	WHITE	Male	48	51.609	57.499	
00ac70ef-6346-297d-02af-7ebb80b1805e_LK.jpg	INDIA	Male	41	63.591	63.735	
00ad2541-28a8-589d-5a59-6c059a3704df_LK.jpg	WHITE	Male	45	62.984	57.909	
00ad303a-9501-3db7-9184-31a7486837fd_LK.jpg	WHITE	Male	27	55.666	46.767	
00b164c2-f70a-eeed-6cf7-8dc618613a7c_LK.jpg	WHITE	Male	29	65.144	59.076	
00b570d5-fc98-538a-5edb-2be3698887e7_LK.jpg	WHITE	Male	57	40.871	43.002	
00b82ece-2302-8f18-433b-cc2fee900f65_LK.jpg	WHITE	Male	38	69.999	66.002	
00b926ec-d5c8-32b2-d114-707d0f2f7dda_LK.jpg	WHITE	Male	49	72.461	65.9	
00bdf378-bdbc-c7a0-88bc-bc1fa5fa181d_LK.jpg	WHITE	Male	48	76.34	75.419	
00beab48-0c00-fe4c-ec52-6516ebcf911a_LK.jpg	ASIAN	Female	29	69.188	71.758	
00c015ba-397f-7914-8286-ada16afaad0b_LK.jpg	BLACK	Male	69	59.956	54.025	
00c08132-ac32-3885-248e-f0d4144d3a62_LK.jpg	ASIAN	Male	44	65.951	61.859	
00c3097d-77e1-346d-a787-8d5b11ffc89e_LK.jpg	WHITE	Male	40	63.471	64.551	
00c403d2-ca6e-4efe-9838-1b2f0f2a0eb4_LK.jpg	WHITE	Male	60	59.921	52.596	
00cbb701-a3fa-f41e-23aa-3ea2edc2eb71_LK.jpg	ASIAN	Male	52	54.999	60.777	
00cd0859-c7c1-bbdc-4c27-eab45ab609f5_LK.jpg	WHITE	Male	21	67.22	70.025	
00ce4656-7885-2faf-45c3-281aa4fd02c9_LK.jpg	BLACK	Male	30	55.12	50.558	
00cf835c-8ba1-a3fa-ecf0-8cd1038cd952_LK.jpg	WHITE	Female	58	54.703	48.294	
00d01700-d1f2-cacf-3850-1e312df5799c_LK.jpg	INDIA	Male	35	68.909	67.07	
00d6f01b-cc62-5c54-ad3f-1994938945b5_LK.jpg	WHITE	Male	46	70.923	64.328	
00d8483f-2e8a-b630-f141-2e1df601bda8_LK.jpg	WHITE	Male	58	45.896	41.824	
00dabf0f-fdc0-48e7-62ff-3d16873b3ff3_LK.jpg	WHITE	Male	71	49.316	41.531	
00db361f-48d0-0c5d-5b67-1cd1b7247e14_LK.jpg	BLACK	Male	33	58.748	60.003	
